T_inst E_tot P Z
0.115651 -6.49749 -5.13837 -52.2704
0.115631 -6.49849 -5.14465 -52.3434
0.115607 -6.49928 -5.15042 -52.4129
0.11558 -6.50004 -5.15596 -52.4819
0.115547 -6.50093 -5.16151 -52.553
0.115511 -6.50165 -5.16655 -52.621
0.11547 -6.50263 -5.17177 -52.6927
0.115426 -6.50341 -5.1764 -52.7601
0.115378 -6.50403 -5.18047 -52.8235
0.115329 -6.50454 -5.18408 -52.8829
0.115278 -6.50495 -5.18723 -52.9385
0.115226 -6.50539 -5.19012 -52.9917
0.115175 -6.50579 -5.19266 -53.0412
0.120118 -6.49844 -5.19021 -50.8342
0.120052 -6.49858 -5.19159 -50.8761
0.119989 -6.49875 -5.19266 -50.9133
0.119931 -6.49879 -5.19317 -50.9428
0.11988 -6.49882 -5.19335 -50.9661
0.119836 -6.49864 -5.19291 -50.9804
0.1198 -6.49828 -5.19194 -50.9865
0.11977 -6.49791 -5.19074 -50.9873
0.119747 -6.49775 -5.18974 -50.9874
0.11973 -6.49733 -5.18818 -50.9793
0.119717 -6.49693 -5.18652 -50.9685
0.119709 -6.49658 -5.18489 -50.9558
0.119705 -6.49618 -5.18313 -50.9402
0.119705 -6.49564 -5.18109 -50.9203
0.119707 -6.49527 -5.17934 -50.9019
0.119712 -6.49482 -5.17743 -50.8812
0.11972 -6.49437 -5.17556 -50.8596
0.11973 -6.49381 -5.17356 -50.8354
0.119743 -6.49328 -5.17165 -50.8112
0.119758 -6.49297 -5.17018 -50.7904
0.119776 -6.49264 -5.16878 -50.7692
0.119795 -6.49244 -5.16767 -50.7502
0.119816 -6.49221 -5.16662 -50.7311
0.119838 -6.49204 -5.16579 -50.7136
0.11986 -6.4919 -5.16508 -50.6972
0.11988 -6.49169 -5.16435 -50.6814
0.119899 -6.49164 -5.16399 -50.6701
0.119915 -6.49145 -5.16345 -50.6578
0.119929 -6.49132 -5.16308 -50.6484
0.119939 -6.49129 -5.16289 -50.6425
0.119944 -6.49126 -5.1627 -50.6384
0.119945 -6.49125 -5.16255 -50.6364
0.119941 -6.49109 -5.1621 -50.6335
0.119933 -6.49102 -5.16174 -50.6334
0.119921 -6.49085 -5.16111 -50.6323
0.119906 -6.49071 -5.16044 -50.6323
