0.005	0.0001	1
0.005	0.000138776	1
0.005	0.000177551	0
0.005	0.000216327	0
0.005	0.000255102	0
0.005	0.000293878	0
0.005	0.000332653	0
0.005	0.000371429	0
0.005	0.000410204	0
0.005	0.00044898	0
0.005	0.000487755	0
0.005	0.000526531	0
0.005	0.000565306	0
0.005	0.000604082	0
0.005	0.000642857	0
0.005	0.000681633	0
0.005	0.000720408	0
0.005	0.000759184	0
0.005	0.000797959	0
0.005	0.000836735	0
0.005	0.00087551	0
0.005	0.000914286	0
0.005	0.000953061	0
0.005	0.000991837	0
0.005	0.00103061	0
0.005	0.00106939	0
0.005	0.00110816	0
0.005	0.00114694	0
0.005	0.00118571	0
0.005	0.00122449	0
0.005	0.00126327	0
0.005	0.00130204	0
0.005	0.00134082	0
0.005	0.00137959	0
0.005	0.00141837	0
0.005	0.00145714	0
0.005	0.00149592	0
0.005	0.00153469	0
0.005	0.00157347	0
0.005	0.00161224	0
0.005	0.00165102	0
0.005	0.0016898	0
0.005	0.00172857	0
0.005	0.00176735	0
0.005	0.00180612	0
0.005	0.0018449	0
0.005	0.00188367	0
0.005	0.00192245	0
0.005	0.00196122	0
0.005	0.002	0
0.00591716	0.0001	1
0.00591716	0.000138776	1
0.00591716	0.000177551	1
0.00591716	0.000216327	0
0.00591716	0.000255102	0
0.00591716	0.000293878	0
0.00591716	0.000332653	0
0.00591716	0.000371429	0
0.00591716	0.000410204	0
0.00591716	0.00044898	0
0.00591716	0.000487755	0
0.00591716	0.000526531	0
0.00591716	0.000565306	0
0.00591716	0.000604082	0
0.00591716	0.000642857	0
0.00591716	0.000681633	0
0.00591716	0.000720408	0
0.00591716	0.000759184	0
0.00591716	0.000797959	0
0.00591716	0.000836735	0
0.00591716	0.00087551	0
0.00591716	0.000914286	0
0.00591716	0.000953061	0
0.00591716	0.000991837	0
0.00591716	0.00103061	0
0.00591716	0.00106939	0
0.00591716	0.00110816	0
0.00591716	0.00114694	0
0.00591716	0.00118571	0
0.00591716	0.00122449	0
0.00591716	0.00126327	0
0.00591716	0.00130204	0
0.00591716	0.00134082	0
0.00591716	0.00137959	0
0.00591716	0.00141837	0
0.00591716	0.00145714	0
0.00591716	0.00149592	0
0.00591716	0.00153469	0
0.00591716	0.00157347	0
0.00591716	0.00161224	0
0.00591716	0.00165102	0
0.00591716	0.0016898	0
0.00591716	0.00172857	0
0.00591716	0.00176735	0
0.00591716	0.00180612	0
0.00591716	0.0018449	0
0.00591716	0.00188367	0
0.00591716	0.00192245	0
0.00591716	0.00196122	0
0.00591716	0.002	0
0.00684932	0.0001	1
0.00684932	0.000138776	1
0.00684932	0.000177551	1
0.00684932	0.000216327	1
0.00684932	0.000255102	0
0.00684932	0.000293878	0
0.00684932	0.000332653	0
0.00684932	0.000371429	0
0.00684932	0.000410204	0
0.00684932	0.00044898	0
0.00684932	0.000487755	0
0.00684932	0.000526531	0
0.00684932	0.000565306	0
0.00684932	0.000604082	0
0.00684932	0.000642857	0
0.00684932	0.000681633	0
0.00684932	0.000720408	0
0.00684932	0.000759184	0
0.00684932	0.000797959	0
0.00684932	0.000836735	0
0.00684932	0.00087551	0
0.00684932	0.000914286	0
0.00684932	0.000953061	0
0.00684932	0.000991837	0
0.00684932	0.00103061	0
0.00684932	0.00106939	0
0.00684932	0.00110816	0
0.00684932	0.00114694	0
0.00684932	0.00118571	0
0.00684932	0.00122449	0
0.00684932	0.00126327	0
0.00684932	0.00130204	0
0.00684932	0.00134082	0
0.00684932	0.00137959	0
0.00684932	0.00141837	0
0.00684932	0.00145714	0
0.00684932	0.00149592	0
0.00684932	0.00153469	0
0.00684932	0.00157347	0
0.00684932	0.00161224	0
0.00684932	0.00165102	0
0.00684932	0.0016898	0
0.00684932	0.00172857	0
0.00684932	0.00176735	0
0.00684932	0.00180612	0
0.00684932	0.0018449	0
0.00684932	0.00188367	0
0.00684932	0.00192245	0
0.00684932	0.00196122	0
0.00684932	0.002	0
0.00775194	0.0001	1
0.00775194	0.000138776	1
0.00775194	0.000177551	1
0.00775194	0.000216327	1
0.00775194	0.000255102	0
0.00775194	0.000293878	0
0.00775194	0.000332653	0
0.00775194	0.000371429	0
0.00775194	0.000410204	0
0.00775194	0.00044898	0
0.00775194	0.000487755	0
0.00775194	0.000526531	0
0.00775194	0.000565306	0
0.00775194	0.000604082	0
0.00775194	0.000642857	0
0.00775194	0.000681633	0
0.00775194	0.000720408	0
0.00775194	0.000759184	0
0.00775194	0.000797959	0
0.00775194	0.000836735	0
0.00775194	0.00087551	0
0.00775194	0.000914286	0
0.00775194	0.000953061	0
0.00775194	0.000991837	0
0.00775194	0.00103061	0
0.00775194	0.00106939	0
0.00775194	0.00110816	0
0.00775194	0.00114694	0
0.00775194	0.00118571	0
0.00775194	0.00122449	0
0.00775194	0.00126327	0
0.00775194	0.00130204	0
0.00775194	0.00134082	0
0.00775194	0.00137959	0
0.00775194	0.00141837	0
0.00775194	0.00145714	0
0.00775194	0.00149592	0
0.00775194	0.00153469	0
0.00775194	0.00157347	0
0.00775194	0.00161224	0
0.00775194	0.00165102	0
0.00775194	0.0016898	0
0.00775194	0.00172857	0
0.00775194	0.00176735	0
0.00775194	0.00180612	0
0.00775194	0.0018449	0
0.00775194	0.00188367	0
0.00775194	0.00192245	0
0.00775194	0.00196122	0
0.00775194	0.002	0
0.00869565	0.0001	1
0.00869565	0.000138776	1
0.00869565	0.000177551	1
0.00869565	0.000216327	1
0.00869565	0.000255102	1
0.00869565	0.000293878	0
0.00869565	0.000332653	0
0.00869565	0.000371429	0
0.00869565	0.000410204	0
0.00869565	0.00044898	0
0.00869565	0.000487755	0
0.00869565	0.000526531	0
0.00869565	0.000565306	0
0.00869565	0.000604082	0
0.00869565	0.000642857	0
0.00869565	0.000681633	0
0.00869565	0.000720408	0
0.00869565	0.000759184	0
0.00869565	0.000797959	0
0.00869565	0.000836735	0
0.00869565	0.00087551	0
0.00869565	0.000914286	0
0.00869565	0.000953061	0
0.00869565	0.000991837	0
0.00869565	0.00103061	0
0.00869565	0.00106939	0
0.00869565	0.00110816	0
0.00869565	0.00114694	0
0.00869565	0.00118571	0
0.00869565	0.00122449	0
0.00869565	0.00126327	0
0.00869565	0.00130204	0
0.00869565	0.00134082	0
0.00869565	0.00137959	0
0.00869565	0.00141837	0
0.00869565	0.00145714	0
0.00869565	0.00149592	0
0.00869565	0.00153469	0
0.00869565	0.00157347	0
0.00869565	0.00161224	0
0.00869565	0.00165102	0
0.00869565	0.0016898	0
0.00869565	0.00172857	0
0.00869565	0.00176735	0
0.00869565	0.00180612	0
0.00869565	0.0018449	0
0.00869565	0.00188367	0
0.00869565	0.00192245	0
0.00869565	0.00196122	0
0.00869565	0.002	0
0.00961538	0.0001	1
0.00961538	0.000138776	1
0.00961538	0.000177551	1
0.00961538	0.000216327	1
0.00961538	0.000255102	1
0.00961538	0.000293878	1
