Time nR nF
2.24 30.326 210.338
2.25 30.1964 208.703
2.26 30.0694 207.079
2.27 29.9448 205.467
2.28 29.8225 203.867
2.29 29.7027 202.278
2.3 29.5851 200.701
2.31 29.4699 199.135
2.32 29.3569 197.581
2.33 29.2461 196.037
2.34 29.1375 194.505
2.35 29.031 192.984
2.36 28.9266 191.475
2.37 28.8244 189.976
2.38 28.7241 188.488
2.39 28.6259 187.011
2.4 28.5297 185.545
2.41 28.4355 184.09
2.42 28.3431 182.646
2.43 28.2527 181.212
2.44 28.1641 179.789
2.45 28.0774 178.376
2.46 27.9925 176.974
2.47 27.9094 175.583
2.48 27.8281 174.202
2.49 27.7485 172.831
2.5 27.6706 171.47
2.51 27.5944 170.12
2.52 27.5199 168.779
2.53 27.4471 167.449
2.54 27.3758 166.129
2.55 27.3062 164.819
2.56 27.2381 163.518
2.57 27.1716 162.228
2.58 27.1066 160.947
2.59 27.0432 159.676
2.6 26.9812 158.415
2.61 26.9207 157.163
2.62 26.8617 155.92
2.63 26.8041 154.688
2.64 26.7479 153.464
2.65 26.6932 152.25
2.66 26.6398 151.045
2.67 26.5878 149.85
2.68 26.5371 148.664
2.69 26.4878 147.486
2.7 26.4397 146.318
2.71 26.393 145.159
2.72 26.3476 144.008
2.73 26.3034 142.867
2.74 26.2605 141.734
2.75 26.2188 140.61
2.76 26.1784 139.495
2.77 26.1391 138.389
2.78 26.1011 137.291
2.79 26.0642 136.201
2.8 26.0285 135.12
2.81 25.994 134.047
2.82 25.9606 132.983
2.83 25.9283 131.927
2.84 25.8972 130.879
2.85 25.8671 129.839
2.86 25.8382 128.808
2.87 25.8103 127.784
2.88 25.7835 126.769
2.89 25.7578 125.761
2.9 25.7331 124.762
2.91 25.7094 123.77
2.92 25.6868 122.786
2.93 25.6651 121.809
2.94 25.6445 120.841
2.95 25.6249 119.88
2.96 25.6063 118.926
2.97 25.5886 117.98
2.98 25.5719 117.042
2.99 25.5562 116.11
3 25.5414 115.187
3.01 25.5275 114.27
3.02 25.5146 113.361
3.03 25.5026 112.459
3.04 25.4915 111.564
3.05 25.4813 110.676
3.06 25.472 109.795
3.07 25.4636 108.921
3.08 25.456 108.054
3.09 25.4494 107.194
3.1 25.4436 106.34
3.11 25.4387 105.494
3.12 25.4346 104.654
3.13 25.4313 103.821
3.14 25.4289 102.994
3.15 25.4273 102.174
3.16 25.4266 101.361
3.17 25.4266 100.554
