Time N1 N2 N3
7.75 95.3956 0.000108537 25.0515
7.8 95.6102 0.00012041 24.9266
7.85 95.8153 0.000133736 24.8022
7.9 96.0112 0.000148703 24.6785
7.95 96.1982 0.000165526 24.5555
8 96.3769 0.00018445 24.433
8.05 96.5474 0.000205752 24.3111
8.1 96.7101 0.000229751 24.1899
8.15 96.8654 0.000256805 24.0692
8.2 97.0136 0.000287327 23.9492
8.25 97.155 0.000321786 23.8298
8.3 97.2898 0.000360716 23.7109
8.35 97.4184 0.00040473 23.5927
8.4 97.541 0.000454524 23.475
8.45 97.6579 0.000510897 23.3579
8.5 97.7693 0.000574761 23.2415
8.55 97.8755 0.00064716 23.1256
8.6 97.9767 0.00072929 23.0102
8.65 98.0731 0.000822518 22.8955
8.7 98.1649 0.000928413 22.7813
8.75 98.2524 0.00104877 22.6677
8.8 98.3357 0.00118566 22.5547
8.85 98.4149 0.00134145 22.4422
8.9 98.4904 0.00151884 22.3303
8.95 98.5622 0.00172098 22.219
9 98.6305 0.00195144 22.1082
9.05 98.6954 0.00221435 21.998
9.1 98.7571 0.00251446 21.8883
9.15 98.8157 0.00285724 21.7792
9.2 98.8713 0.00324898 21.6707
9.25 98.9241 0.00369693 21.5626
9.3 98.9741 0.00420945 21.4552
9.35 99.0215 0.00479617 21.3483
9.4 99.0663 0.00546822 21.2419
9.45 99.1086 0.00623842 21.1361
9.5 99.1485 0.00712159 21.0308
9.55 99.186 0.00813485 20.9261
9.6 99.2212 0.00929797 20.8219
9.65 99.254 0.0106338 20.7182
9.7 99.2847 0.0121689 20.6151
9.75 99.313 0.0139337 20.5126
9.8 99.339 0.0159637 20.4106
9.85 99.3628 0.0182999 20.3091
9.9 99.3841 0.0209898 20.2082
9.95 99.4031 0.0240884 20.1079
10 99.4195 0.0276595 20.0081
10.05 99.4333 0.031777 19.9089
10.1 99.4442 0.0365266 19.8103
10.15 99.4521 0.0420078 19.7123
10.2 99.4568 0.0483359 19.6149
10.25 99.458 0.0556446 19.518
10.3 99.4553 0.0640893 19.4219
10.35 99.4483 0.0738501 19.3263
10.4 99.4365 0.085136 19.2315
10.45 99.4194 0.0981895 19.1373
10.5 99.3964 0.113292 19.0439
10.55 99.3666 0.130769 18.9512
10.6 99.3291 0.151 18.8593
10.65 99.2828 0.174422 18.7683
10.7 99.2266 0.201543 18.6782
10.75 99.1591 0.232948 18.5891
10.8 99.0784 0.269318 18.501
10.85 98.9829 0.311433 18.4141
10.9 98.8701 0.360196 18.3284
10.95 98.7375 0.416643 18.244
11 98.5823 0.481966 18.1612
11.05 98.401 0.557524 18.08
11.1 98.1896 0.64487 18.0006
11.15 97.9439 0.745768 17.9232
11.2 97.6588 0.86221 17.8482
11.25 97.3285 0.996435 17.7756
11.3 96.9467 1.15094 17.706
11.35 96.5062 1.3285 17.6395
11.4 95.999 1.53212 17.5766
11.45 95.4164 1.7651 17.5177
11.5 94.7489 2.0309 17.4634
11.55 93.9862 2.33317 17.4142
11.6 93.1176 2.6756 17.3707
11.65 92.1319 3.06179 17.3337
11.7 91.0179 3.49515 17.3038
11.75 89.7647 3.97857 17.2819
11.8 88.3621 4.51425 17.2688
11.85 86.8015 5.10335 17.2654
11.9 85.0762 5.74562 17.2727
11.95 83.1823 6.43911 17.2915
12 81.1195 7.17981 17.3227
12.05 78.8917 7.96137 17.3673
12.1 76.5076 8.77498 17.4258
12.15 73.981 9.60936 17.499
12.2 71.3305 10.4509 17.5873
12.25 68.5798 11.2843 17.6908
12.3 65.7563 12.0926 17.8095
12.35 62.8904 12.8589 17.9433
12.4 60.0139 13.5662 18.0913
12.45 57.159 14.1992 18.2529
12.5 54.3564 14.7445 18.4267
12.55 51.6343 15.1917 18.6115
12.6 49.0171 15.5335 18.8055
12.65 46.5252 15.7663 19.007
12.7 44.1742 15.8896 19.2141
12.75 41.9751 15.9064 19.4248
12.8 39.9346 15.8223 19.6372
12.85 38.0556 15.6451 19.8493
12.9 36.3375 15.3843 20.0592
12.95 34.7772 15.0502 20.2653
13 33.3697 14.654 20.466
13.05 32.1083 14.2067 20.66
13.1 30.9854 13.719 20.8461
13.15 29.9931 13.2011 21.0233
13.2 29.123 12.6624 21.1907
13.25 28.3669 12.1111 21.3478
13.3 27.7168 11.5548 21.4942
13.35 27.1653 10.9997 21.6295
13.4 26.705 10.4513 21.7537
13.45 26.3295 9.91395 21.8667
13.5 26.0325 9.39133 21.9687
13.55 25.8084 8.88618 22.0598
13.6 25.6522 8.40062 22.1402
