Time nR nF
2.24 43.6405 175.486
2.25 43.51 174.217
2.26 43.3821 172.957
2.27 43.2568 171.704
2.28 43.134 170.46
2.29 43.0136 169.224
2.3 42.8958 167.996
2.31 42.7803 166.777
2.32 42.6672 165.565
2.33 42.5565 164.362
2.34 42.4481 163.166
2.35 42.342 161.979
2.36 42.2381 160.799
2.37 42.1365 159.628
2.38 42.0371 158.464
2.39 41.9399 157.308
2.4 41.8448 156.16
2.41 41.7519 155.02
2.42 41.661 153.888
2.43 41.5723 152.763
2.44 41.4855 151.646
2.45 41.4009 150.537
2.46 41.3182 149.435
2.47 41.2374 148.341
2.48 41.1587 147.254
2.49 41.0818 146.175
2.5 41.0069 145.103
2.51 40.9339 144.039
2.52 40.8627 142.982
2.53 40.7934 141.933
2.54 40.7258 140.891
2.55 40.6601 139.856
2.56 40.5962 138.828
2.57 40.534 137.808
2.58 40.4736 136.795
2.59 40.4149 135.788
2.6 40.3579 134.789
2.61 40.3025 133.797
2.62 40.2489 132.812
2.63 40.1969 131.834
2.64 40.1465 130.863
2.65 40.0978 129.899
2.66 40.0506 128.942
2.67 40.005 127.991
2.68 39.961 127.048
2.69 39.9185 126.111
2.7 39.8776 125.18
2.71 39.8382 124.257
2.72 39.8003 123.34
2.73 39.7639 122.429
2.74 39.7289 121.525
2.75 39.6955 120.628
2.76 39.6634 119.737
2.77 39.6328 118.853
2.78 39.6037 117.975
2.79 39.5759 117.103
2.8 39.5495 116.238
2.81 39.5245 115.378
2.82 39.5009 114.526
2.83 39.4786 113.679
2.84 39.4577 112.838
2.85 39.4381 112.004
2.86 39.4198 111.176
2.87 39.4028 110.353
2.88 39.3871 109.537
2.89 39.3728 108.727
2.9 39.3597 107.923
2.91 39.3478 107.124
2.92 39.3372 106.331
2.93 39.3279 105.545
2.94 39.3198 104.764
2.95 39.3129 103.989
2.96 39.3072 103.219
2.97 39.3028 102.455
2.98 39.2995 101.697
2.99 39.2974 100.944
3 39.2965 100.197
3.01 39.2968 99.4557
3.02 39.2982 98.7197
3.03 39.3008 97.9891
3.04 39.3046 97.264
3.05 39.3094 96.5442
3.06 39.3154 95.8298
3.07 39.3225 95.1207
3.08 39.3308 94.4168
3.09 39.3401 93.7182
3.1 39.3505 93.0248
3.11 39.3621 92.3366
3.12 39.3747 91.6535
3.13 39.3884 90.9755
3.14 39.4031 90.3026
3.15 39.4189 89.6347
3.16 39.4358 88.9719
3.17 39.4537 88.3139
3.18 39.4727 87.6609
3.19 39.4927 87.0128
3.2 39.5137 86.3696
3.21 39.5358 85.7312
3.22 39.5588 85.0976
3.23 39.5829 84.4687
3.24 39.608 83.8446
3.25 39.6341 83.2252
3.26 39.6612 82.6104
3.27 39.6893 82.0003
3.28 39.7183 81.3948
3.29 39.7484 80.7938
3.3 39.7794 80.1974
3.31 39.8114 79.6055
3.32 39.8444 79.018
3.33 39.8783 78.435
3.34 39.9132 77.8564
3.35 39.949 77.2822
3.36 39.9858 76.7123
3.37 40.0235 76.1468
3.38 40.0621 75.5855
3.39 40.1017 75.0285
3.4 40.1423 74.4757
3.41 40.1837 73.9271
3.42 40.2261 73.3826
3.43 40.2694 72.8423
3.44 40.3136 72.3061
3.45 40.3587 71.774
3.46 40.4047 71.2459
3.47 40.4516 70.7218
3.48 40.4994 70.2018
3.49 40.5482 69.6856
3.5 40.5978 69.1735
3.51 40.6483 68.6652
3.52 40.6997 68.1608
3.53 40.7519 67.6602
3.54 40.8051 67.1635
3.55 40.8591 66.6705
3.56 40.914 66.1813
3.57 40.9698 65.6958
3.58 41.0265 65.2141
3.59 41.084 64.736
3.6 41.1424 64.2616
3.61 41.2016 63.7908
3.62 41.2617 63.3236
3.63 41.3227 62.86
3.64 41.3845 62.3999
3.65 41.4472 61.9434
3.66 41.5107 61.4903
3.67 41.5751 61.0408
3.68 41.6403 60.5946
3.69 41.7063 60.1519
3.7 41.7732 59.7126
3.71 41.841 59.2766
3.72 41.9095 58.844
3.73 41.9789 58.4147
3.74 42.0492 57.9887
3.75 42.1203 57.566
3.76 42.1922 57.1465
3.77 42.2649 56.7302
3.78 42.3385 56.3172
3.79 42.4129 55.9073
3.8 42.4881 55.5005
3.81 42.5641 55.0969
3.82 42.641 54.6964
3.83 42.7187 54.2989
3.84 42.7972 53.9045
3.85 42.8765 53.5132
3.86 42.9566 53.1249
3.87 43.0376 52.7395
3.88 43.1193 52.3571
3.89 43.2019 51.9777
3.9 43.2853 51.6012
3.91 43.3695 51.2275
3.92 43.4545 50.8568
3.93 43.5404 50.4889
3.94 43.627 50.1238
3.95 43.7144 49.7616
3.96 43.8027 49.4022
3.97 43.8917 49.0455
3.98 43.9816 48.6915
3.99 44.0723 48.3403
4 44.1637 47.9919
4.01 44.256 47.646
4.02 44.3491 47.3029
4.03 44.443 46.9624
4.04 44.5377 46.6245
4.05 44.6332 46.2893
4.06 44.7295 45.9566
4.07 44.8266 45.6265
4.08 44.9244 45.299
4.09 45.0231 44.9739
4.1 45.1226 44.6514
4.11 45.2229 44.3314
4.12 45.324 44.0138
4.13 45.4259 43.6987
4.14 45.5286 43.386
4.15 45.6321 43.0758
4.16 45.7365 42.7679
4.17 45.8416 42.4624
4.18 45.9475 42.1593
4.19 46.0542 41.8585
4.2 46.1617 41.5601
4.21 46.27 41.2639
4.22 46.3791 40.9701
4.23 46.489 40.6785
4.24 46.5997 40.3891
4.25 46.7112 40.102
4.26 46.8235 39.8171
4.27 46.9367 39.5345
4.28 47.0506 39.254
4.29 47.1653 38.9756
4.3 47.2809 38.6995
4.31 47.3972 38.4254
4.32 47.5143 38.1535
4.33 47.6323 37.8837
4.34 47.751 37.616
4.35 47.8706 37.3503
4.36 47.991 37.0867
4.37 48.1121 36.8251
4.38 48.2341 36.5656
4.39 48.3569 36.308
4.4 48.4805 36.0525
4.41 48.6049 35.7989
4.42 48.7301 35.5473
4.43 48.8562 35.2976
4.44 48.983 35.0499
4.45 49.1107 34.8041
4.46 49.2392 34.5601
4.47 49.3685 34.3181
4.48 49.4986 34.078
4.49 49.6295 33.8397
4.5 49.7613 33.6032
4.51 49.8938 33.3686
4.52 50.0272 33.1357
4.53 50.1614 32.9047
4.54 50.2965 32.6755
4.55 50.4323 32.448
4.56 50.569 32.2223
4.57 50.7065 31.9984
4.58 50.8449 31.7762
4.59 50.984 31.5557
4.6 51.124 31.3369
4.61 51.2649 31.1198
4.62 51.4065 30.9043
4.63 51.549 30.6906
4.64 51.6924 30.4785
4.65 51.8365 30.268
4.66 51.9815 30.0592
4.67 52.1274 29.8519
4.68 52.2741 29.6463
4.69 52.4216 29.4423
4.7 52.57 29.2398
4.71 52.7192 29.0389
4.72 52.8692 28.8396
4.73 53.0202 28.6418
4.74 53.1719 28.4455
4.75 53.3245 28.2508
4.76 53.478 28.0575
4.77 53.6323 27.8658
4.78 53.7875 27.6755
4.79 53.9435 27.4867
4.8 54.1004 27.2993
4.81 54.2582 27.1134
4.82 54.4168 26.929
4.83 54.5763 26.746
4.84 54.7366 26.5643
4.85 54.8979 26.3841
4.86 55.06 26.2053
4.87 55.2229 26.0278
4.88 55.3867 25.8518
4.89 55.5515 25.6771
4.9 55.717 25.5037
4.91 55.8835 25.3317
4.92 56.0509 25.161
4.93 56.2191 24.9916
4.94 56.3882 24.8235
4.95 56.5582 24.6567
4.96 56.7291 24.4913
4.97 56.9009 24.327
4.98 57.0736 24.1641
4.99 57.2472 24.0024
5 57.4216 23.842
5.01 57.597 23.6828
5.02 57.7733 23.5248
5.03 57.9505 23.3681
5.04 58.1286 23.2125
5.05 58.3076 23.0582
5.06 58.4875 22.905
5.07 58.6683 22.7531
5.08 58.85 22.6023
5.09 59.0327 22.4526
