Time n1 n2
21.2 0.0144707 149.971
21.3 0.0137652 149.972
21.4 0.013094 149.974
21.5 0.0124556 149.975
21.6 0.0118482 149.976
21.7 0.0112705 149.977
21.8 0.010721 149.979
21.9 0.0101982 149.98
22 0.00970094 149.981
22.1 0.0092279 149.982
22.2 0.00877793 149.982
22.3 0.0083499 149.983
22.4 0.00794273 149.984
22.5 0.00755542 149.985
22.6 0.00718699 149.986
22.7 0.00683653 149.986
22.8 0.00650315 149.987
22.9 0.00618603 149.988
23 0.00588436 149.988
23.1 0.00559741 149.989
23.2 0.00532445 149.989
23.3 0.0050648 149.99
23.4 0.00481781 149.99
23.5 0.00458287 149.991
23.6 0.00435938 149.991
23.7 0.00414679 149.992
23.8 0.00394456 149.992
23.9 0.0037522 149.992
24 0.00356921 149.993
24.1 0.00339515 149.993
24.2 0.00322958 149.994
24.3 0.00307208 149.994
24.4 0.00292226 149.994
24.5 0.00277975 149.994
24.6 0.00264419 149.995
24.7 0.00251523 149.995
24.8 0.00239257 149.995
24.9 0.00227589 149.995
25 0.0021649 149.996
25.1 0.00205932 149.996
25.2 0.00195889 149.996
25.3 0.00186336 149.996
25.4 0.00177248 149.996
25.5 0.00168604 149.997
25.6 0.00160381 149.997
25.7 0.0015256 149.997
25.8 0.0014512 149.997
25.9 0.00138042 149.997
26 0.0013131 149.997
26.1 0.00124906 149.998
26.2 0.00118814 149.998
26.3 0.0011302 149.998
26.4 0.00107508 149.998
26.5 0.00102265 149.998
26.6 0.000972775 149.998
26.7 0.000925333 149.998
26.8 0.000880204 149.998
26.9 0.000837277 149.998
27 0.000796443 149.998
27.1 0.000757601 149.998
27.2 0.000720653 149.999
27.3 0.000685507 149.999
27.4 0.000652074 149.999
27.5 0.000620273 149.999
27.6 0.000590022 149.999
27.7 0.000561247 149.999
27.8 0.000533875 149.999
27.9 0.000507838 149.999
28 0.00048307 149.999
28.1 0.000459511 149.999
28.2 0.0004371 149.999
28.3 0.000415783 149.999
28.4 0.000395505 149.999
28.5 0.000376216 149.999
28.6 0.000357868 149.999
28.7 0.000340415 149.999
28.8 0.000323813 149.999
28.9 0.00030802 149.999
29 0.000292998 149.999
29.1 0.000278708 149.999
29.2 0.000265116 149.999
29.3 0.000252186 149.999
29.4 0.000239887 150
29.5 0.000228187 150
29.6 0.000217059 150
29.7 0.000206473 150
29.8 0.000196403 150
29.9 0.000186824 150
30 0.000177713 150
30.1 0.000169046 150
30.2 0.000160801 150
30.3 0.000152959 150
30.4 0.000145499 150
30.5 0.000138403 150
30.6 0.000131653 150
30.7 0.000125232 150
30.8 0.000119125 150
30.9 0.000113315 150
31 0.000107788 150
31.1 0.000102531 150
31.2 9.7531e-05 150
31.3 9.27743e-05 150
31.4 8.82497e-05 150
31.5 8.39457e-05 150
31.6 7.98516e-05 150
31.7 7.59572e-05 150
31.8 7.22528e-05 150
31.9 6.8729e-05 150
32 6.5377e-05 150
32.1 6.21885e-05 150
32.2 5.91556e-05 150
32.3 5.62705e-05 150
32.4 5.35262e-05 150
32.5 5.09157e-05 150
32.6 4.84325e-05 150
32.7 4.60704e-05 150
32.8 4.38235e-05 150
32.9 4.16862e-05 150
33 3.96532e-05 150
33.1 3.77193e-05 150
33.2 3.58797e-05 150
33.3 3.41298e-05 150
33.4 3.24653e-05 150
33.5 3.08819e-05 150
33.6 2.93758e-05 150
33.7 2.79431e-05 150
33.8 2.65803e-05 150
33.9 2.5284e-05 150
34 2.40509e-05 150
34.1 2.28779e-05 150
34.2 2.17621e-05 150
34.3 2.07008e-05 150
34.4 1.96912e-05 150
34.5 1.87308e-05 150
34.6 1.78173e-05 150
34.7 1.69484e-05 150
34.8 1.61218e-05 150
34.9 1.53355e-05 150
35 1.45876e-05 150
35.1 1.38762e-05 150
35.2 1.31994e-05 150
35.3 1.25557e-05 150
35.4 1.19433e-05 150
35.5 1.13608e-05 150
35.6 1.08068e-05 150
35.7 1.02797e-05 150
35.8 9.77836e-06 150
35.9 9.30146e-06 150
36 8.84783e-06 150
36.1 8.41631e-06 150
36.2 8.00584e-06 150
36.3 7.6154e-06 150
36.4 7.24399e-06 150
36.5 6.89069e-06 150
36.6 6.55463e-06 150
36.7 6.23496e-06 150
36.8 5.93088e-06 150
36.9 5.64162e-06 150
37 5.36648e-06 150
37.1 5.10475e-06 150
37.2 4.85579e-06 150
37.3 4.61897e-06 150
37.4 4.3937e-06 150
