0.0270995	1.05114	1.0542	1.77322	1.99943	-5.88489
0.0565681	1.0997	1.11307	1.5216	1.9953	-5.88489
0.0858802	1.1406	1.17142	1.26933	1.98506	-5.88489
0.115565	1.17449	1.2301	1.01433	1.96702	-5.88489
0.146074	1.20147	1.28972	0.754693	1.93969	-5.88489
0.177578	1.22107	1.35025	0.490762	1.90172	-5.88489
0.209221	1.23248	1.40969	0.231229	1.85314	-5.88489
0.24085	1.23578	1.46739	-0.0214346	1.79324	-5.88489
0.272058	1.23132	1.52227	-0.263052	1.72152	-5.88489
0.302116	1.22002	1.5728	-0.487629	1.63871	-5.88489
0.338373	1.1976	1.6301	-0.746886	1.5177	-5.88489
0.378171	1.16246	1.68735	-1.01596	1.35358	-5.88489
0.417575	1.11745	1.73688	-1.26618	1.15364	-5.88489
0.455484	1.06512	1.77634	-1.49199	0.921446	-5.88489
0.492496	1.00604	1.80561	-1.69855	0.653056	-5.88489
0.52914	0.940261	1.82401	-1.88895	0.34325	-5.88489
0.560943	0.87773	1.83014	-2.04131	0.0365531	-5.88489
0.586776	0.823513	1.82757	-2.15447	-0.239444	-5.88489
0.613399	0.764733	1.81713	-2.25881	-0.54942	-5.88489
0.640475	0.702314	1.79769	-2.34894	-0.890901	-5.88489
0.668671	0.635006	1.76724	-2.4211	-1.27339	-5.88489
0.697424	0.564671	1.72471	-2.46583	-1.68916	-5.88489
0.726554	0.492625	1.66909	-2.47394	-2.13309	-5.88489
0.756149	0.419852	1.59905	-2.43519	-2.60264	-5.88489
0.786533	0.347198	1.51246	-2.33655	-3.09874	-5.88489
0.815436	0.281785	1.41596	-2.1787	-3.58004	-5.88489
0.841886	0.226742	1.31537	-1.97312	-4.0277	-5.88489
0.866423	0.181246	1.21136	-1.72583	-4.45157	-5.88489
0.88925	0.14497	1.10513	-1.44405	-4.85837	-5.88489
0.910287	0.117727	0.998838	-1.1386	-5.25047	-5.88489
0.927119	0.100848	0.907706	-0.86233	-5.58121	-5.88489
0.942131	0.0898994	0.821605	-0.592844	-5.89231	-5.88489
0.955568	0.0836489	0.740479	-0.335159	-6.1849	-5.88489
0.969109	0.0809381	0.654661	-0.0637612	-6.49201	-5.88489
0.981324	0.0816785	0.573632	0.184897	-6.77512	-5.88489
0.992869	0.0851481	0.493879	0.414339	-7.03958	-5.88489
1.00243	0.0899697	0.425563	0.591375	-7.24687	-5.88489
1.01125	0.0958355	0.3609	0.735577	-7.4188	-5.88489
1.02009	0.102887	0.294601	0.853073	-7.56235	-5.88489
1.02852	0.110433	0.230412	0.931545	-7.6623	-5.88489
1.03696	0.118488	0.16549	0.970801	-7.71829	-5.88489
1.0457	0.12699	0.0979345	0.965816	-7.72463	-5.88489
1.05428	0.135083	0.0318843	0.915449	-7.67935	-5.88489
1.06305	0.142731	-0.035113	0.820914	-7.58473	-5.88489
1.07157	0.149206	-0.0992067	0.693983	-7.4541	-5.88489
1.07992	0.154387	-0.160797	0.543605	-7.29822	-5.88489
1.08849	0.158315	-0.222598	0.370172	-7.11863	-5.88489
1.09762	0.160797	-0.28663	0.172256	-6.91471	-5.88489
1.10778	0.161391	-0.355705	-0.0560861	-6.68103	-5.88489
1.12081	0.158736	-0.440843	-0.350767	-6.38134	-5.88489
1.13334	0.152595	-0.519038	-0.627859	-6.0999	-5.88489
1.14618	0.142772	-0.595542	-0.900298	-5.821	-5.88489
1.16019	0.128169	-0.675031	-1.18127	-5.52734	-5.88489
1.17563	0.107673	-0.75796	-1.46915	-5.21441	-5.88489
1.19262	0.0802257	-0.843664	-1.75829	-4.87933	-5.88489
1.21112	0.0450277	-0.930622	-2.04036	-4.52009	-5.88489
1.23007	0.00390783	-1.0128	-2.29404	-4.15388	-5.88489
1.24827	-0.0398119	-1.08519	-2.50514	-3.80064	-5.88489
1.26467	-0.0822637	-1.14488	-2.66909	-3.47977	-5.88489
1.28343	-0.133895	-1.20671	-2.82791	-3.10897	-5.88489
1.30468	-0.195568	-1.26826	-2.97331	-2.68548	-5.88489
1.32857	-0.268177	-1.32671	-3.09802	-2.20658	-5.88489
1.35439	-0.349497	-1.37702	-3.19353	-1.69021	-5.88489
1.38168	-0.43761	-1.41577	-3.25908	-1.15172	-5.88489
1.41075	-0.532994	-1.44108	-3.29928	-0.592721	-5.88489
1.44188	-0.636055	-1.45051	-3.31917	-0.018077	-5.88489
1.47537	-0.747301	-1.44126	-3.3223	0.563096	-5.88489
1.49981	-0.828437	-1.42264	-3.31323	0.954895	-5.88489
1.52067	-0.897359	-1.3995	-3.29448	1.25941	-5.88489
1.53992	-0.960514	-1.3728	-3.26297	1.5081	-5.88489
1.55929	-1.02326	-1.34148	-3.21076	1.71747	-5.88489
1.57763	-1.08149	-1.30852	-3.13563	1.86927	-5.88489
1.59633	-1.13917	-1.27253	-3.02773	1.97117	-5.88489
1.61563	-1.19623	-1.23394	-2.8809	2.01906	-5.88489
1.63274	-1.2442	-1.19935	-2.7226	2.01765	-5.88489
1.65009	-1.2899	-1.16459	-2.54018	1.98319	-5.88489
1.6674	-1.33217	-1.13073	-2.34294	1.92657	-5.88489
1.68616	-1.37403	-1.09528	-2.11944	1.85229	-5.88489
1.70867	-1.41867	-1.05463	-1.84676	1.7598	-5.88489
1.73346	-1.46075	-1.01219	-1.54878	1.66674	-5.88489
1.75853	-1.49587	-0.971412	-1.25437	1.58925	-5.88489
1.7837	-1.52382	-0.932187	-0.966706	1.52981	-5.88489
1.81072	-1.54585	-0.891518	-0.665792	1.48429	-5.88489
1.84061	-1.56086	-0.847693	-0.339456	1.4504	-5.88489
1.87437	-1.56616	-0.799198	0.0248231	1.42354	-5.88489
1.91072	-1.55814	-0.747944	0.416822	1.3949	-5.88489
1.94979	-1.53356	-0.694288	0.842872	1.34711	-5.88489
1.98661	-1.49501	-0.646017	1.25276	1.26863	-5.88489
2.01881	-1.44877	-0.606796	1.6208	1.15976	-5.88489
2.04733	-1.39779	-0.575578	1.95618	1.02229	-5.88489
2.07262	-1.34446	-0.551675	2.26289	0.861387	-5.88489
2.09501	-1.29068	-0.534316	2.54341	0.683866	-5.88489
2.11476	-1.23793	-0.522604	2.79957	0.497012	-5.88489
2.13213	-1.18729	-0.51558	3.03263	0.307859	-5.88489
2.1473	-1.1397	-0.512288	3.24285	0.123233	-5.88489
2.16029	-1.09636	-0.511792	3.42817	-0.0490082	-5.88489
2.17214	-1.05471	-0.513356	3.60123	-0.216513	-5.88489
2.18404	-1.01081	-0.516975	3.77835	-0.393105	-5.88489
2.19693	-0.960866	-0.523311	3.97269	-0.590858	-5.88489
2.21103	-0.903352	-0.533181	4.18508	-0.808649	-5.88489
2.22821	-0.829274	-0.549276	4.43508	-1.06064	-5.88489
2.24006	-0.775746	-0.562773	4.59402	-1.21237	-5.88489
2.25247	-0.717797	-0.57864	4.74013	-1.33781	-5.88489
2.26391	-0.662958	-0.594399	4.84923	-1.41153	-5.88489
2.27515	-0.607962	-0.610456	4.92712	-1.43577	-5.88489
2.2871	-0.548779	-0.627475	4.9743	-1.40305	-5.88489
2.3011	-0.479025	-0.6464	4.98271	-1.28714	-5.88489
2.31255	-0.42208	-0.660319	4.95558	-1.13532	-5.88489
2.32404	-0.36541	-0.672281	4.90307	-0.939928	-5.88489
2.33543	-0.30996	-0.68172	4.83176	-0.712914	-5.88489
2.34725	-0.253353	-0.688624	4.74304	-0.45158	-5.88489
2.36	-0.193581	-0.692476	4.63591	-0.150144	-5.88489
2.37456	-0.127009	-0.69206	4.50394	0.209055	-5.88489
2.39102	-0.054194	-0.685221	4.34671	0.622951	-5.88489
2.40752	0.0162065	-0.671504	4.182	1.03864	-5.88489
2.42449	0.0856749	-0.650291	4.00514	1.46048	-5.88489
2.44257	0.156326	-0.619889	3.80641	1.89964	-5.88489
2.46175	0.227201	-0.579105	3.58127	2.35032	-5.88489
