r x0 Time x
-1 0 0 0
-1 0 0.1 0
-1 0 0.2 0
-1 0 0.3 0
-1 0 0.4 0
-1 0 0.5 0
-1 0 0.6 0
-1 0 0.7 0
-1 0 0.8 0
-1 0 0.9 0
-1 0 1 0
-1 0 1.1 0
-1 0 1.2 0
-1 0 1.3 0
-1 0 1.4 0
-1 0 1.5 0
-1 0 1.6 0
-1 0 1.7 0
-1 0 1.8 0
-1 0 1.9 0
-1 0 2 0
-1 0 2.1 0
-1 0 2.2 0
-1 0 2.3 0
-1 0 2.4 0
-1 0 2.5 0
-1 0 2.6 0
-1 0 2.7 0
-1 0 2.8 0
-1 0 2.9 0
-1 0 3 0
-1 0 3.1 0
-1 0 3.2 0
-1 0 3.3 0
-1 0 3.4 0
-1 0 3.5 0
-1 0 3.6 0
-1 0 3.7 0
-1 0 3.8 0
-1 0 3.9 0
-1 0 4 0
-1 0 4.1 0
-1 0 4.2 0
-1 0 4.3 0
-1 0 4.4 0
-1 0 4.5 0
-1 0 4.6 0
-1 0 4.7 0
-1 0 4.8 0
-1 0 4.9 0
-1 0 5 0
-1 0 5.1 0
-1 0 5.2 0
-1 0 5.3 0
-1 0 5.4 0
-1 0 5.5 0
-1 0 5.6 0
-1 0 5.7 0
-1 0 5.8 0
-1 0 5.9 0
-1 0 6 0
-1 0 6.1 0
-1 0 6.2 0
-1 0 6.3 0
-1 0 6.4 0
-1 0 6.5 0
-1 0 6.6 0
-1 0 6.7 0
-1 0 6.8 0
-1 0 6.9 0
-1 0 7 0
-1 0 7.1 0
-1 0 7.2 0
-1 0 7.3 0
-1 0 7.4 0
-1 0 7.5 0
-1 0 7.6 0
-1 0 7.7 0
-1 0 7.8 0
-1 0 7.9 0
-1 0 8 0
-1 0 8.1 0
-1 0 8.2 0
-1 0 8.3 0
-1 0 8.4 0
-1 0 8.5 0
-1 0 8.6 0
-1 0 8.7 0
-1 0 8.8 0
-1 0 8.9 0
-1 0 9 0
-1 0 9.1 0
-1 0 9.2 0
-1 0 9.3 0
-1 0 9.4 0
-1 0 9.5 0
-1 0 9.6 0
-1 0 9.7 0
-1 0 9.8 0
-1 0 9.9 0
-1 0 10 0
-1 0.1 0 0.1
-1 0.1 0.1 0.0913531
-1 0.1 0.2 0.0833846
-1 0.1 0.3 0.076053
-1 0.1 0.4 0.0693173
-1 0.1 0.5 0.0631373
-1 0.1 0.6 0.0574743
-1 0.1 0.7 0.0522909
-1 0.1 0.8 0.0475514
-1 0.1 0.9 0.0432219
-1 0.1 1 0.0392703
-1 0.1 1.1 0.0356665
-1 0.1 1.2 0.0323823
-1 0.1 1.3 0.0293913
-1 0.1 1.4 0.0266689
-1 0.1 1.5 0.0241925
-1 0.1 1.6 0.0219408
-1 0.1 1.7 0.0198944
-1 0.1 1.8 0.0180353
-1 0.1 1.9 0.0163471
-1 0.1 2 0.0148145
-1 0.1 2.1 0.0134236
-1 0.1 2.2 0.0121617
-1 0.1 2.3 0.0110171
-1 0.1 2.4 0.00997919
-1 0.1 2.5 0.00903812
-1 0.1 2.6 0.00818507
-1 0.1 2.7 0.00741193
-1 0.1 2.8 0.00671133
-1 0.1 2.9 0.00607654
-1 0.1 3 0.00550146
-1 0.1 3.1 0.00498054
-1 0.1 3.2 0.00450871
-1 0.1 3.3 0.0040814
-1 0.1 3.4 0.00369444
-1 0.1 3.5 0.00334405
-1 0.1 3.6 0.00302678
-1 0.1 3.7 0.00273953
-1 0.1 3.8 0.00247948
-1 0.1 3.9 0.00224405
-1 0.1 4 0.00203094
-1 0.1 4.1 0.00183802
-1 0.1 4.2 0.0016634
