Time nR nF
2.22 23.6712 192.491
2.23 23.5817 190.947
2.24 23.494 189.414
2.25 23.4081 187.894
2.26 23.3239 186.384
2.27 23.2415 184.886
2.28 23.1607 183.4
2.29 23.0816 181.925
2.3 23.0041 180.461
2.31 22.9282 179.009
2.32 22.8539 177.567
2.33 22.7811 176.137
2.34 22.7099 174.718
2.35 22.6402 173.31
2.36 22.572 171.912
2.37 22.5053 170.526
2.38 22.44 169.15
2.39 22.3761 167.785
2.4 22.3136 166.43
2.41 22.2525 165.086
2.42 22.1928 163.752
2.43 22.1344 162.429
2.44 22.0773 161.116
2.45 22.0216 159.814
2.46 21.9671 158.521
2.47 21.9139 157.239
2.48 21.862 155.966
2.49 21.8112 154.704
2.5 21.7617 153.452
2.51 21.7134 152.209
2.52 21.6663 150.976
2.53 21.6204 149.753
2.54 21.5756 148.54
2.55 21.5319 147.336
2.56 21.4894 146.141
2.57 21.448 144.956
2.58 21.4077 143.781
2.59 21.3684 142.615
2.6 21.3303 141.458
2.61 21.2931 140.31
2.62 21.2571 139.171
2.63 21.222 138.041
2.64 21.188 136.921
2.65 21.1549 135.809
2.66 21.1229 134.706
2.67 21.0918 133.612
2.68 21.0617 132.526
2.69 21.0326 131.45
2.7 21.0044 130.381
2.71 20.9771 129.322
2.72 20.9508 128.271
2.73 20.9253 127.228
2.74 20.9008 126.193
2.75 20.8772 125.167
2.76 20.8544 124.149
2.77 20.8325 123.14
2.78 20.8115 122.138
2.79 20.7913 121.145
2.8 20.772 120.159
2.81 20.7535 119.181
2.82 20.7358 118.212
2.83 20.719 117.25
2.84 20.703 116.295
2.85 20.6877 115.349
2.86 20.6733 114.41
2.87 20.6596 113.479
2.88 20.6467 112.555
2.89 20.6346 111.639
2.9 20.6232 110.73
2.91 20.6126 109.828
2.92 20.6028 108.934
2.93 20.5937 108.047
2.94 20.5853 107.167
2.95 20.5776 106.294
2.96 20.5707 105.429
2.97 20.5645 104.57
2.98 20.5589 103.718
2.99 20.5541 102.874
3 20.55 102.036
3.01 20.5465 101.205
3.02 20.5438 100.381
3.03 20.5417 99.563
3.04 20.5403 98.752
3.05 20.5395 97.9477
3.06 20.5394 97.1499
3.07 20.54 96.3586
3.08 20.5412 95.5738
3.09 20.543 94.7953
3.1 20.5455 94.0232
3.11 20.5486 93.2574
3.12 20.5524 92.4979
3.13 20.5568 91.7445
3.14 20.5617 90.9973
3.15 20.5673 90.2562
3.16 20.5735 89.5212
3.17 20.5803 88.7922
3.18 20.5878 88.0691
3.19 20.5958 87.352
3.2 20.6043 86.6407
3.21 20.6135 85.9352
3.22 20.6233 85.2356
3.23 20.6336 84.5416
3.24 20.6445 83.8533
3.25 20.656 83.1707
3.26 20.6681 82.4937
