Time nR nF
2.33 595.831 204.639
2.34 596.998 204.019
2.35 598.171 203.403
2.36 599.35 202.791
2.37 600.535 202.183
2.38 601.726 201.58
2.39 602.923 200.981
2.4 604.126 200.386
2.41 605.335 199.795
2.42 606.55 199.208
2.43 607.771 198.626
2.44 608.998 198.047
2.45 610.231 197.473
2.46 611.469 196.903
2.47 612.714 196.337
2.48 613.965 195.775
2.49 615.222 195.217
2.5 616.485 194.663
2.51 617.754 194.113
2.52 619.029 193.567
2.53 620.31 193.025
2.54 621.596 192.488
2.55 622.889 191.954
2.56 624.188 191.424
2.57 625.493 190.898
2.58 626.804 190.376
2.59 628.121 189.857
2.6 629.444 189.343
2.61 630.773 188.833
2.62 632.108 188.326
2.63 633.449 187.824
2.64 634.796 187.325
2.65 636.149 186.83
2.66 637.508 186.339
2.67 638.873 185.852
2.68 640.244 185.369
2.69 641.622 184.889
2.7 643.005 184.413
2.71 644.394 183.941
2.72 645.789 183.473
2.73 647.191 183.008
2.74 648.598 182.548
2.75 650.011 182.09
2.76 651.431 181.637
2.77 652.856 181.187
2.78 654.288 180.742
2.79 655.726 180.299
2.8 657.169 179.861
2.81 658.619 179.426
2.82 660.075 178.994
2.83 661.537 178.567
2.84 663.004 178.143
2.85 664.478 177.722
2.86 665.958 177.306
2.87 667.445 176.893
2.88 668.937 176.483
2.89 670.435 176.077
2.9 671.939 175.675
2.91 673.45 175.276
2.92 674.966 174.88
2.93 676.489 174.489
2.94 678.017 174.1
2.95 679.552 173.716
2.96 681.093 173.334
2.97 682.639 172.957
2.98 684.192 172.583
2.99 685.751 172.212
3 687.316 171.845
3.01 688.888 171.481
3.02 690.465 171.121
3.03 692.048 170.764
3.04 693.638 170.41
3.05 695.233 170.06
3.06 696.835 169.714
3.07 698.443 169.371
3.08 700.057 169.031
3.09 701.677 168.695
3.1 703.303 168.362
3.11 704.935 168.033
3.12 706.573 167.706
3.13 708.217 167.384
3.14 709.868 167.064
3.15 711.525 166.748
3.16 713.187 166.436
3.17 714.856 166.127
3.18 716.531 165.821
3.19 718.212 165.518
3.2 719.899 165.219
3.21 721.592 164.923
3.22 723.292 164.63
3.23 724.997 164.341
3.24 726.709 164.055
3.25 728.426 163.773
3.26 730.15 163.493
3.27 731.88 163.217
3.28 733.616 162.944
3.29 735.358 162.675
3.3 737.107 162.409
3.31 738.861 162.146
3.32 740.621 161.886
3.33 742.388 161.63
3.34 744.161 161.377
3.35 745.939 161.127
3.36 747.724 160.88
3.37 749.515 160.637
3.38 751.312 160.397
3.39 753.116 160.16
3.4 754.925 159.926
3.41 756.74 159.696
3.42 758.562 159.469
3.43 760.39 159.245
3.44 762.223 159.024
3.45 764.063 158.807
3.46 765.909 158.592
3.47 767.761 158.381
3.48 769.619 158.173
3.49 771.483 157.969
3.5 773.354 157.767
3.51 775.23 157.569
3.52 777.112 157.374
3.53 779.001 157.182
3.54 780.896 156.994
3.55 782.796 156.808
3.56 784.703 156.626
3.57 786.616 156.447
3.58 788.535 156.272
3.59 790.459 156.099
3.6 792.39 155.93
3.61 794.327 155.763
3.62 796.27 155.6
3.63 798.22 155.441
3.64 800.175 155.284
3.65 802.136 155.131
3.66 804.103 154.98
3.67 806.076 154.833
3.68 808.056 154.689
3.69 810.041 154.549
3.7 812.032 154.411
3.71 814.029 154.277
3.72 816.033 154.146
3.73 818.042 154.018
3.74 820.057 153.894
3.75 822.078 153.772
3.76 824.105 153.654
3.77 826.139 153.539
3.78 828.178 153.427
3.79 830.223 153.319
3.8 832.274 153.213
3.81 834.331 153.111
3.82 836.393 153.012
3.83 838.462 152.916
3.84 840.537 152.824
3.85 842.617 152.735
3.86 844.704 152.649
3.87 846.796 152.566
3.88 848.894 152.486
3.89 850.998 152.41
3.9 853.108 152.337
3.91 855.224 152.267
3.92 857.346 152.201
3.93 859.473 152.137
3.94 861.606 152.077
3.95 863.745 152.021
3.96 865.89 151.967
3.97 868.041 151.917
3.98 870.197 151.87
3.99 872.359 151.826
4 874.527 151.786
4.01 876.7 151.749
4.02 878.88 151.715
4.03 881.065 151.685
4.04 883.255 151.658
4.05 885.452 151.634
4.06 887.654 151.614
4.07 889.861 151.597
4.08 892.075 151.583
4.09 894.293 151.573
4.1 896.518 151.566
4.11 898.748 151.562
4.12 900.984 151.562
4.13 903.225 151.565
4.14 905.471 151.572
4.15 907.724 151.582
4.16 909.981 151.595
4.17 912.244 151.612
4.18 914.513 151.632
4.19 916.787 151.656
4.2 919.067 151.683
4.21 921.352 151.714
4.22 923.642 151.748
4.23 925.937 151.786
4.24 928.238 151.827
4.25 930.545 151.871
4.26 932.856 151.919
4.27 935.173 151.971
4.28 937.495 152.026
4.29 939.823 152.085
4.3 942.155 152.148
4.31 944.493 152.213
4.32 946.836 152.283
4.33 949.184 152.356
4.34 951.537 152.433
4.35 953.895 152.513
4.36 956.259 152.597
4.37 958.627 152.685
4.38 961 152.776
4.39 963.379 152.871
4.4 965.762 152.97
4.41 968.15 153.073
4.42 970.543 153.179
4.43 972.941 153.289
4.44 975.344 153.402
4.45 977.751 153.52
4.46 980.164 153.641
4.47 982.581 153.766
4.48 985.003 153.895
4.49 987.429 154.028
4.5 989.86 154.164
4.51 992.296 154.305
4.52 994.736 154.449
4.53 997.181 154.597
4.54 999.63 154.75
4.55 1002.08 154.906
4.56 1004.54 155.066
4.57 1007.01 155.23
4.58 1009.47 155.398
4.59 1011.94 155.57
4.6 1014.42 155.746
4.61 1016.9 155.927
4.62 1019.38 156.111
4.63 1021.87 156.299
4.64 1024.36 156.492
4.65 1026.86 156.689
4.66 1029.36 156.89
4.67 1031.87 157.095
4.68 1034.37 157.304
4.69 1036.89 157.517
4.7 1039.4 157.735
4.71 1041.92 157.957
4.72 1044.45 158.184
4.73 1046.97 158.414
4.74 1049.5 158.649
4.75 1052.04 158.889
4.76 1054.58 159.132
4.77 1057.12 159.381
4.78 1059.66 159.633
4.79 1062.21 159.89
4.8 1064.77 160.152
4.81 1067.32 160.418
4.82 1069.88 160.689
4.83 1072.44 160.964
4.84 1075.01 161.244
4.85 1077.58 161.528
4.86 1080.15 161.818
4.87 1082.72 162.111
4.88 1085.3 162.41
4.89 1087.88 162.713
4.9 1090.46 163.021
4.91 1093.05 163.334
4.92 1095.63 163.652
4.93 1098.22 163.975
4.94 1100.82 164.302
4.95 1103.41 164.635
4.96 1106.01 164.972
4.97 1108.61 165.314
4.98 1111.22 165.662
4.99 1113.82 166.014
5 1116.43 166.372
5.01 1119.04 166.734
5.02 1121.65 167.102
5.03 1124.26 167.475
5.04 1126.88 167.853
5.05 1129.49 168.237
5.06 1132.11 168.625
5.07 1134.73 169.019
5.08 1137.35 169.419
5.09 1139.98 169.824
5.1 1142.6 170.234
5.11 1145.23 170.65
5.12 1147.86 171.071
5.13 1150.48 171.498
5.14 1153.11 171.93
5.15 1155.74 172.368
5.16 1158.38 172.812
5.17 1161.01 173.261
5.18 1163.64 173.716
5.19 1166.27 174.177
5.2 1168.91 174.644
5.21 1171.54 175.116
5.22 1174.18 175.595
5.23 1176.81 176.079
5.24 1179.45 176.57
5.25 1182.08 177.066
5.26 1184.72 177.569
5.27 1187.35 178.077
5.28 1189.99 178.592
5.29 1192.62 179.113
5.3 1195.26 179.64
5.31 1197.89 180.174
5.32 1200.52 180.714
5.33 1203.15 181.26
5.34 1205.79 181.813
5.35 1208.42 182.372
5.36 1211.05 182.938
5.37 1213.67 183.51
5.38 1216.3 184.089
5.39 1218.93 184.675
5.4 1221.55 185.267
5.41 1224.17 185.866
5.42 1226.79 186.472
5.43 1229.41 187.085
5.44 1232.03 187.705
5.45 1234.64 188.331
5.46 1237.25 188.965
5.47 1239.86 189.606
5.48 1242.47 190.254
5.49 1245.08 190.909
5.5 1247.68 191.572
5.51 1250.28 192.241
5.52 1252.87 192.918
5.53 1255.47 193.603
5.54 1258.06 194.295
5.55 1260.64 194.994
5.56 1263.22 195.701
5.57 1265.8 196.416
5.58 1268.38 197.138
5.59 1270.95 197.868
5.6 1273.52 198.606
5.61 1276.08 199.352
5.62 1278.64 200.106
5.63 1281.19 200.867
5.64 1283.74 201.637
5.65 1286.28 202.415
5.66 1288.82 203.201
5.67 1291.36 203.995
5.68 1293.88 204.798
5.69 1296.41 205.608
5.7 1298.92 206.428
5.71 1301.44 207.255
5.72 1303.94 208.092
5.73 1306.44 208.937
5.74 1308.93 209.79
5.75 1311.42 210.652
5.76 1313.9 211.524
5.77 1316.37 212.403
5.78 1318.84 213.292
